"expr","time","inits"
"Skinny_0",24590941788,50
"Skinny_0",24177235470,50
"Skinny_0",24123408046,50
"Skinny_0",24172190871,50
"Skinny_0.5",5511706260,5
"Skinny_0.5",5649272084,5
"Skinny_0.5",5569323765,5
"Skinny_0.5",5634579283,5
"Skinny_0.5",5583481762,5
"Skinny_0.5",5602618512,5
"Skinny_0.5",5635086658,5
"Skinny_0.5",5583621572,5
"Skinny_0.5",5655543731,5
"Skinny_0.5",5552654354,5
"Skinny_0.5",2520119981,10
"Skinny_0.5",2646868160,10
"Skinny_0.5",2589686567,10
"Skinny_0.5",2624498355,10
"Skinny_0.5",2666628643,10
"Skinny_0.5",2603657932,10
"Skinny_0.5",2607887574,10
"Skinny_0.5",2646051440,10
"Skinny_0.5",2640812255,10
"Skinny_0.5",2596941681,10
"Skinny_0.5",2487161024,15
"Skinny_0.5",2648867279,15
"Skinny_0.5",2537145313,15
"Skinny_0.5",2573009653,15
"Skinny_0.5",2619928249,15
"Skinny_0.5",2591086348,15
"Skinny_0.5",2567248661,15
"Skinny_0.5",2615599879,15
"Skinny_0.5",2770740886,15
"Skinny_0.5",2545250439,15
"Skinny_0.5",1310361804,20
"Skinny_0.5",1305349677,20
"Skinny_0.5",1355057421,20
"Skinny_0.5",1376250854,20
"Skinny_0.5",1314890131,20
"Skinny_0.5",1365212260,20
"Skinny_0.5",1356767859,20
"Skinny_0.5",1326337208,20
"Skinny_0.5",1371707111,20
"Skinny_0.5",1333514422,20
"Skinny_0.5",1973208681,25
"Skinny_0.5",1996011979,25
"Skinny_0.5",2035732492,25
"Skinny_0.5",2003439047,25
"Skinny_0.5",2042736194,25
"Skinny_0.5",1994038649,25
"Skinny_0.5",2051667552,25
"Skinny_0.5",1984286676,25
"Skinny_0.5",2061848344,25
"Skinny_0.5",1978610800,25
"Skinny_0.5",1496765229,30
"Skinny_0.5",1542328611,30
"Skinny_0.5",1545238545,30
"Skinny_0.5",1595535172,30
"Skinny_0.5",1536552039,30
"Skinny_0.5",1565564787,30
"Skinny_0.5",1583365716,30
"Skinny_0.5",1524511487,30
"Skinny_0.5",1586794833,30
"Skinny_0.5",1548841010,30
"Skinny_0.5",615946444,35
"Skinny_0.5",636490519,35
"Skinny_0.5",645200067,35
"Skinny_0.5",661969764,35
"Skinny_0.5",645340082,35
"Skinny_0.5",622360074,35
"Skinny_0.5",643220095,35
"Skinny_0.5",651927839,35
"Skinny_0.5",662593579,35
"Skinny_0.5",676898438,35
"Skinny_0.5",901700659,40
"Skinny_0.5",932261526,40
"Skinny_0.5",935944843,40
"Skinny_0.5",952229797,40
"Skinny_0.5",970798779,40
"Skinny_0.5",896730352,40
"Skinny_0.5",927826433,40
"Skinny_0.5",957889683,40
"Skinny_0.5",957991117,40
"Skinny_0.5",933108012,40
"Skinny_0.5",1351581892,45
"Skinny_0.5",1405087466,45
"Skinny_0.5",1420893827,45
"Skinny_0.5",1371108183,45
"Skinny_0.5",1419244233,45
"Skinny_0.5",1443243542,45
"Skinny_0.5",1357412748,45
"Skinny_0.5",1412293708,45
"Skinny_0.5",1442928785,45
"Skinny_0.5",1360322518,45
"Skinny_0.5",800813722,50
"Skinny_0.5",838086617,50
"Skinny_0.5",838634377,50
"Skinny_0.5",857311640,50
"Skinny_0.5",812022179,50
"Skinny_0.5",835278937,50
"Skinny_0.5",852499306,50
"Skinny_0.5",858500763,50
"Skinny_0.5",883294570,50
"Skinny_0.5",803228212,50
"Skinny_1",6695046948,5
"Skinny_1",6701807766,5
"Skinny_1",6718193949,5
"Skinny_1",6758600638,5
"Skinny_1",6767507355,5
"Skinny_1",6693974675,5
"Skinny_1",6725987434,5
"Skinny_1",6744369292,5
"Skinny_1",6784277790,5
"Skinny_1",6694386520,5
"Skinny_1",15261287812,10
"Skinny_1",15363972599,10
"Skinny_1",15348102934,10
"Skinny_1",15363124309,10
"Skinny_1",15384933685,10
"Skinny_1",15345076314,10
"Skinny_1",15350941528,10
"Skinny_1",15372584485,10
"Skinny_1",15359096592,10
"Skinny_1",15489158514,10
"Skinny_1",9664888754,15
"Skinny_1",10111448782,15
"Skinny_1",9752323427,15
"Skinny_1",9662266886,15
"Skinny_1",9759389818,15
"Skinny_1",9642121782,15
"Skinny_1",9799732506,15
"Skinny_1",9684608729,15
"Skinny_1",9776153078,15
"Skinny_1",9718783336,15
"Skinny_1",8677480752,20
"Skinny_1",8797798901,20
"Skinny_1",8741188889,20
"Skinny_1",8776764630,20
"Skinny_1",8789263439,20
"Skinny_1",8781230309,20
"Skinny_1",8774015334,20
"Skinny_1",8769706275,20
"Skinny_1",8746183509,20
"Skinny_1",8791502613,20
"Skinny_1",14560139801,25
"Skinny_1",14672354833,25
"Skinny_1",14598482181,25
"Skinny_1",14656579140,25
"Skinny_1",14595519398,25
"Skinny_1",14674219390,25
"Skinny_1",14591606276,25
"Skinny_1",14679337584,25
"Skinny_1",14692532819,25
"Skinny_1",14798089533,25
"Skinny_1",17352885182,30
"Skinny_1",17342271307,30
"Skinny_1",17381091173,30
"Skinny_1",17376538984,30
"Skinny_1",17297812998,30
"Skinny_1",17328684727,30
"Skinny_1",17347212627,30
"Skinny_1",17839172980,30
"Skinny_1",17373467428,30
"Skinny_1",17346975852,30
"Skinny_1",3730026947,35
"Skinny_1",3781370345,35
"Skinny_1",3753805635,35
"Skinny_1",3767089553,35
"Skinny_1",3756750050,35
"Skinny_1",3759904918,35
"Skinny_1",3759254576,35
"Skinny_1",3755773594,35
"Skinny_1",3764320659,35
"Skinny_1",3762963477,35
"Skinny_1",14458353898,40
"Skinny_1",14614255455,40
"Skinny_1",14526044406,40
"Skinny_1",14619318135,40
"Skinny_1",14541409402,40
"Skinny_1",14629592407,40
"Skinny_1",14515452220,40
"Skinny_1",14499340122,40
"Skinny_1",14653354203,40
"Skinny_1",14517998935,40
"Skinny_1",17008826097,45
"Skinny_1",17084875234,45
"Skinny_1",17080469169,45
"Skinny_1",17075739040,45
"Skinny_1",17098118398,45
"Skinny_1",17051894957,45
"Skinny_1",17062986974,45
"Skinny_1",17070408507,45
"Skinny_1",17062884556,45
"Skinny_1",17116189845,45
"Skinny_1",19418519261,50
"Skinny_1",19449173198,50
"Skinny_1",19544220423,50
"Skinny_1",19538314947,50
"Skinny_1",19467914052,50
"Skinny_1",19637166070,50
"Skinny_1",19451530329,50
"Skinny_1",19501707277,50
"Skinny_1",19441969006,50
"Skinny_1",19483446861,50
"Sparse_0",14687902074,5
"Sparse_0",14771108499,5
"Sparse_0",14758012074,5
"Sparse_0",14769732703,5
"Sparse_0",14768577487,5
"Sparse_0",14773030661,5
"Sparse_0",14790724621,5
"Sparse_0",14798506339,5
"Sparse_0",14792838130,5
"Sparse_0",14814034679,5
"Sparse_0",14601206139,10
"Sparse_0",14699264978,10
"Sparse_0",14780083276,10
"Sparse_0",14764026979,10
"Sparse_0",14727308609,10
"Sparse_0",14820403373,10
"Sparse_0",14684133518,10
"Sparse_0",14693546667,10
"Sparse_0",14686155925,10
"Sparse_0",14766835479,10
"Sparse_0",16305195413,15
"Sparse_0",16412659242,15
"Sparse_0",16406356886,15
"Sparse_0",16292478238,15
"Sparse_0",16355440175,15
"Sparse_0",16322504998,15
"Sparse_0",16311897396,15
"Sparse_0",16386558273,15
"Sparse_0",16362801028,15
"Sparse_0",16322348624,15
"Sparse_0",11489588711,20
"Sparse_0",11602761667,20
"Sparse_0",11601705548,20
"Sparse_0",11604459887,20
"Sparse_0",11613228885,20
"Sparse_0",11601447043,20
"Sparse_0",11579517455,20
"Sparse_0",11584809653,20
"Sparse_0",11612837253,20
"Sparse_0",11601803169,20
"Sparse_0",14348056682,25
"Sparse_0",14395124477,25
"Sparse_0",14430953926,25
"Sparse_0",14433010240,25
"Sparse_0",14401464143,25
"Sparse_0",14472410010,25
"Sparse_0",14384214090,25
"Sparse_0",14444648582,25
"Sparse_0",14438390137,25
"Sparse_0",14399478964,25
"Sparse_0",17486822916,30
"Sparse_0",17601317220,30
"Sparse_0",17592534897,30
"Sparse_0",17619312243,30
"Sparse_0",17592483647,30
"Sparse_0",17620549213,30
"Sparse_0",17621524890,30
"Sparse_0",17605552971,30
"Sparse_0",17681334870,30
"Sparse_0",17633730713,30
"Sparse_0",10251380019,35
"Sparse_0",10250886543,35
"Sparse_0",10327401112,35
"Sparse_0",10278677778,35
"Sparse_0",10268237948,35
"Sparse_0",10332781214,35
"Sparse_0",10252607436,35
"Sparse_0",10311298362,35
"Sparse_0",10312043578,35
"Sparse_0",10267751565,35
"Sparse_0",10891379605,40
"Sparse_0",10933971922,40
"Sparse_0",10930593153,40
"Sparse_0",11004710616,40
"Sparse_0",10935180889,40
"Sparse_0",10948229836,40
"Sparse_0",11031519450,40
"Sparse_0",10948520444,40
"Sparse_0",10964446279,40
"Sparse_0",10994078701,40
"Sparse_0",11595638122,45
"Sparse_0",11625870661,45
"Sparse_0",11667922885,45
"Sparse_0",11613296576,45
"Sparse_0",11621777795,45
"Sparse_0",11676166345,45
"Sparse_0",11618660319,45
"Sparse_0",11617181859,45
"Sparse_0",11679248602,45
"Sparse_0",11980252070,45
"Sparse_0",16219693357,50
"Sparse_0",15893860084,50
"Sparse_0",15927906566,50
"Sparse_0",15836692636,50
"Sparse_0",15936029404,50
"Sparse_0",15863672317,50
"Sparse_0",15917962713,50
"Sparse_0",15873511005,50
"Sparse_0",15902521211,50
"Sparse_0",15895827346,50
"Sparse_0.5",9732984465,5
"Sparse_0.5",9819302872,5
"Sparse_0.5",9764162587,5
"Sparse_0.5",9826781108,5
"Sparse_0.5",9770029523,5
"Sparse_0.5",10051438558,5
"Sparse_0.5",10117166724,5
"Sparse_0.5",9954723289,5
"Sparse_0.5",9944933391,5
"Sparse_0.5",9827378273,5
"Sparse_0.5",11567710480,10
"Sparse_0.5",11578669780,10
"Sparse_0.5",11599213568,10
"Sparse_0.5",11612812735,10
"Sparse_0.5",11611478472,10
"Sparse_0.5",11775324025,10
"Sparse_0.5",11946286317,10
"Sparse_0.5",11799716360,10
"Sparse_0.5",11619414309,10
"Sparse_0.5",11891251607,10
"Sparse_0.5",7767924944,15
"Sparse_0.5",7796384315,15
"Sparse_0.5",7767199613,15
"Sparse_0.5",7954320128,15
"Sparse_0.5",7799118974,15
"Sparse_0.5",7844633402,15
"Sparse_0.5",7773508611,15
"Sparse_0.5",7786919957,15
"Sparse_0.5",7791230943,15
"Sparse_0.5",7915174271,15
"Sparse_0.5",5678559983,20
"Sparse_0.5",6091951749,20
"Sparse_0.5",5628728993,20
"Sparse_0.5",5481924434,20
"Sparse_0.5",5520074032,20
"Sparse_0.5",5372678991,20
"Sparse_0.5",5426422529,20
"Sparse_0.5",5521133595,20
"Sparse_0.5",5518570029,20
"Sparse_0.5",6055845755,20
"Sparse_0.5",6486918976,25
"Sparse_0.5",6731002226,25
"Sparse_0.5",6411534039,25
"Sparse_0.5",6302487979,25
"Sparse_0.5",6707886262,25
"Sparse_0.5",6661268360,25
"Sparse_0.5",6320435483,25
"Sparse_0.5",6218548474,25
"Sparse_0.5",6320553686,25
"Sparse_0.5",6187167361,25
"Sparse_0.5",10809016222,30
"Sparse_0.5",10869199097,30
"Sparse_0.5",10835196526,30
"Sparse_0.5",10900223141,30
"Sparse_0.5",10856186927,30
"Sparse_0.5",10844102505,30
"Sparse_0.5",10881644811,30
"Sparse_0.5",10842863034,30
"Sparse_0.5",10836555717,30
"Sparse_0.5",10882514175,30
"Sparse_0.5",5819600803,35
"Sparse_0.5",5918245327,35
"Sparse_0.5",5898673977,35
"Sparse_0.5",5894348928,35
"Sparse_0.5",5930281902,35
"Sparse_0.5",5883654160,35
"Sparse_0.5",5956850599,35
"Sparse_0.5",5846825910,35
"Sparse_0.5",5937422790,35
"Sparse_0.5",5843056165,35
"Sparse_0.5",10009432090,40
"Sparse_0.5",10496427384,40
"Sparse_0.5",10498211950,40
"Sparse_0.5",10527630762,40
"Sparse_0.5",10164187205,40
"Sparse_0.5",10158520677,40
"Sparse_0.5",10810039172,40
"Sparse_0.5",10212310135,40
"Sparse_0.5",10153425402,40
"Sparse_0.5",10174654956,40
"Sparse_0.5",14694652847,45
"Sparse_0.5",14781134188,45
"Sparse_0.5",14862287866,45
"Sparse_0.5",14760969650,45
"Sparse_0.5",15820625351,45
"Sparse_0.5",15442275055,45
"Sparse_0.5",15095573479,45
"Sparse_0.5",15070979342,45
"Sparse_0.5",14849951417,45
"Sparse_0.5",15147528474,45
"Sparse_0.5",17713581985,50
"Sparse_0.5",17535822057,50
"Sparse_0.5",18009745280,50
"Sparse_0.5",17455986939,50
"Sparse_0.5",18030120353,50
"Sparse_0.5",17851084997,50
"Sparse_0.5",17559526002,50
"Sparse_0.5",17896075076,50
"Sparse_0.5",17381640245,50
"Sparse_0.5",17778476088,50
